dataset;method;SA;MRE;Runtime
2;3;0.600067;0.326854;6.315203
2;1;0.488771;0.531436;0.030010
2;2;0.723535;0.179132;0.031252
2;3;0.587440;0.352725;6.787203
2;1;0.868284;0.370453;0.035224
2;2;0.458276;0.556748;0.036874
2;3;0.765016;0.259630;6.423966
2;1;1.208512;0.033615;0.029818
2;2;0.741935;0.372729;0.031040
2;3;0.536622;0.343221;6.568909
2;1;0.488771;0.529575;0.029271
2;2;0.723535;0.187744;0.030428
2;3;0.563646;0.354555;6.919205
5;1;0.422441;0.412455;0.081375
5;2;0.534687;0.589498;0.083421
5;3;0.744141;0.559419;8.901141
5;1;0.393427;0.159970;0.025978
5;2;0.235669;0.238537;0.027477
5;3;0.435152;0.325829;8.306700
5;1;2.045292;-0.410760;0.023180
5;2;0.041916;0.869738;0.024412
5;3;0.989013;0.469170;8.546049
5;1;1.754349;-0.554637;0.034370
5;2;0.395652;0.586654;0.036662
5;3;0.760131;0.376862;8.456429
5;1;1.022342;0.488478;0.023625
5;2;0.624324;0.628694;0.024883
5;3;0.621161;0.687412;8.448828
5;1;1.578080;0.024464;0.023479
5;2;0.308333;0.752790;0.024758
5;3;0.310828;0.744932;8.901736
5;1;2.211922;0.052260;0.023254
5;2;0.587601;0.376971;0.024491
5;3;0.444664;0.368050;8.444418
5;1;2.581928;0.442584;0.023524
5;2;0.470588;0.773331;0.024760
5;3;0.520343;0.763676;8.802306
5;1;1.288894;-0.183003;0.023092
5;2;0.832518;0.318545;0.024321
5;3;0.274804;0.666023;8.614382
5;1;1.129994;0.520725;0.023478
5;2;0.928008;0.671458;0.024736
5;3;1.233456;0.689589;8.783322
5;1;0.422441;0.450004;0.023228
5;2;0.534687;0.564317;0.024494
5;3;0.614161;0.634046;8.517047
5;1;0.393427;0.299188;0.023109
5;2;0.235669;0.256814;0.024348
5;3;0.173693;0.804876;8.372105
5;1;2.045292;-0.384352;0.023475
5;2;0.041916;0.866859;0.024732
5;3;0.781717;0.456051;8.489740
5;1;1.754349;-0.382287;0.023527
5;2;0.395652;0.540450;0.024765
5;3;0.317203;0.168791;8.594136
5;1;1.022342;0.463624;0.023123
5;2;0.624324;0.646600;0.024366
5;3;0.534021;0.765554;8.584136
5;1;1.578080;0.094609;0.023278
5;2;0.308333;0.768265;0.024514
5;3;0.469269;0.683416;8.305220
5;1;2.211922;0.256140;0.023475
5;2;0.587601;0.462685;0.024759
5;3;0.509923;0.540223;8.687333
5;1;2.581928;0.272491;0.023090
5;2;0.470588;0.766936;0.024307
5;3;0.358978;0.711180;8.501761
5;1;1.288894;-0.185412;0.023439
5;2;0.832518;0.341120;0.024661
5;3;0.760386;0.498455;8.637612
5;1;1.129994;0.623900;0.023348
5;2;0.928008;0.731290;0.024596
5;3;0.477309;0.600743;8.877070
5;1;0.422441;0.453154;0.023240
5;2;0.534687;0.629573;0.024477
5;3;0.173261;0.696128;8.660136
5;1;0.393427;0.274996;0.023072
5;2;0.235669;0.261739;0.024301
5;3;0.695380;0.280591;8.630426
5;1;2.045292;-0.336132;0.023288
5;2;0.041916;0.881901;0.024535
5;3;0.959534;0.489540;8.708760
5;1;1.754349;-0.820516;0.024291
5;2;0.395652;0.622817;0.025641
5;3;0.500232;0.565522;9.009097
5;1;1.022342;0.529128;0.023204
5;2;0.624324;0.686009;0.024446
5;3;1.563862;0.230821;8.690481
5;1;1.578080;0.210081;0.023325
5;2;0.308333;0.788082;0.024584
5;3;0.505833;0.595693;8.790536
5;1;2.211922;0.179205;0.023306
5;2;0.587601;0.459230;0.024531
5;3;0.386248;0.410878;8.467071
5;1;2.581928;0.280589;0.023132
5;2;0.470588;0.753682;0.024361
5;3;0.485470;0.715518;8.814256
5;1;1.288894;-0.172451;0.023629
5;2;0.832518;0.505046;0.024867
5;3;0.764673;0.439271;8.800355
5;1;1.129994;0.583751;0.023507
5;2;0.928008;0.697541;0.024734
5;3;0.650157;0.673073;8.808331
5;1;0.422441;0.490832;0.024753
5;2;0.534687;0.631466;0.026057
5;3;0.714342;0.523470;8.899621
5;1;0.393427;0.231860;0.023567
5;2;0.235669;0.173138;0.024831
5;3;0.496334;0.195258;8.860704
5;1;2.045292;-0.427892;0.023443
5;2;0.041916;0.877623;0.024707
5;3;0.351777;0.671027;8.629663
5;1;1.754349;-0.579408;0.023224
5;2;0.395652;0.640381;0.024458
5;3;0.541502;0.543515;8.653851
5;1;1.022342;0.433544;0.023330
5;2;0.624324;0.597542;0.024596
5;3;0.612334;0.672139;8.745678
5;1;1.578080;0.201785;0.023188
5;2;0.308333;0.746078;0.024415
5;3;0.565226;0.627917;8.502362
5;1;2.211922;0.177240;0.032068
5;2;0.587601;0.376512;0.034269
5;3;0.488026;0.503011;8.405504
5;1;2.581928;0.375174;0.023341
5;2;0.470588;0.753472;0.024578
5;3;0.448501;0.714865;8.946194
5;1;1.288894;-0.010521;0.023264
5;2;0.832518;0.280550;0.024500
5;3;0.240401;0.711903;8.957449
5;1;1.129994;0.627052;0.023340
5;2;0.928008;0.749283;0.024590
5;3;1.332586;0.311412;8.896410
5;1;0.422441;0.392188;0.023143
5;2;0.534687;0.609947;0.024372
5;3;0.610789;0.635681;8.586705
5;1;0.393427;0.272482;0.023030
5;2;0.235669;0.191852;0.024226
5;3;0.694870;0.106195;8.668199
5;1;2.045292;-0.290317;0.023030
5;2;0.041916;0.874725;0.024262
5;3;0.695557;0.655192;8.800216
5;1;1.754349;-0.524609;0.023567
5;2;0.395652;0.608522;0.024882
5;3;0.477067;0.590163;8.841114
5;1;1.022342;0.481247;0.023432
5;2;0.624324;0.629358;0.024690
5;3;0.345652;0.745396;8.597918
5;1;1.578080;0.061530;0.023356
5;2;0.308333;0.738187;0.024591
5;3;0.651371;0.576255;8.656866
5;1;2.211922;0.204832;0.023272
5;2;0.587601;0.380163;0.024512
5;3;0.408575;0.874625;8.723927
5;1;2.581928;0.384280;0.023052
5;2;0.470588;0.771086;0.024287
5;3;0.370387;0.814304;8.789838
5;1;1.288894;-0.184278;0.023097
5;2;0.832518;0.376715;0.024332
5;3;0.808275;0.399087;8.910208
5;1;1.129994;0.648847;0.022997
5;2;0.928008;0.693862;0.024211
5;3;1.346748;0.413001;8.846627
5;1;0.422441;0.520768;0.023626
5;2;0.534687;0.671076;0.024889
5;3;0.445678;0.728807;8.211003
5;1;0.393427;0.288307;0.023108
5;2;0.235669;0.219619;0.024338
5;3;0.435805;0.215629;8.632670
5;1;2.045292;-0.412003;0.023139
5;2;0.041916;0.884201;0.024390
5;3;0.472341;0.658527;8.243542
5;1;1.754349;-0.731571;0.023563
5;2;0.395652;0.573652;0.024806
5;3;0.275730;0.017189;8.709502
5;1;1.022342;0.485637;0.023084
5;2;0.624324;0.663970;0.024302
5;3;0.678808;0.688621;8.622721
5;1;1.578080;0.059519;0.023124
