dataset;method;SA;MRE;Runtime
0;3;1.746294;-0.012472;5.642452
0;1;0.630605;0.166037;0.033395
0;2;0.557715;0.307299;0.034347
0;3;19.331604;-11.590395;5.747297
0;1;1.784760;0.456684;0.033437
0;2;0.537829;0.784883;0.034393
0;3;13.606267;-7.616022;5.716713
0;1;1.847019;0.079635;0.033484
0;2;0.594816;0.608803;0.034435
0;3;2.159027;-0.440905;5.742272
0;1;0.630605;0.144658;0.033406
0;2;0.557715;0.273321;0.034373
0;3;10.178420;-7.001374;5.547323
0;1;1.784760;0.415505;0.033306
0;2;0.537829;0.775845;0.034268
0;3;24.040046;-6.011603;5.680516
1;1;0.461306;0.591921;0.078167
1;2;0.332762;0.357940;0.080881
1;3;0.322319;0.501747;16.040806
1;1;0.736375;0.344102;0.039824
1;2;0.508633;0.383457;0.042477
1;3;0.971555;0.303799;15.625617
1;1;0.489227;0.350130;0.034759
1;2;0.583751;0.322811;0.037089
1;3;0.622418;0.444697;16.371403
1;1;0.319419;0.436710;0.034493
1;2;0.776984;-0.418565;0.036778
1;3;0.293704;0.378021;16.134178
1;1;0.547883;0.230292;0.039931
1;2;0.398287;0.413268;0.042195
1;3;0.347862;0.522905;16.522262
1;1;0.170175;0.590585;0.034786
1;2;0.420374;0.339618;0.037048
1;3;0.272907;0.505407;15.719829
1;1;0.368598;0.481425;0.034162
1;2;0.482829;0.202970;0.036448
1;3;0.164190;0.570115;15.390050
1;1;0.434807;0.448921;0.034553
1;2;0.428422;0.309215;0.036796
1;3;0.381972;0.383963;15.519134
1;1;0.374432;0.389565;0.035161
1;2;0.263736;0.459405;0.037512
1;3;0.430003;0.144613;16.523394
1;1;1.151496;0.159038;0.034224
1;2;0.736842;0.261949;0.036474
1;3;0.237764;0.553168;16.701203
1;1;0.461306;0.602030;0.034214
1;2;0.332762;0.360098;0.036484
1;3;0.508101;0.515409;15.958145
1;1;0.736375;0.351267;0.034245
1;2;0.508633;0.436575;0.036478
1;3;1.001150;0.247780;15.942539
1;1;0.489227;0.346587;0.034632
1;2;0.583751;0.227729;0.036909
1;3;0.469301;0.395003;16.151595
1;1;0.319419;0.451660;0.034198
1;2;0.776984;-0.398878;0.036463
1;3;0.381459;0.105578;16.328545
1;1;0.547883;0.225872;0.034275
1;2;0.398287;0.453443;0.036499
1;3;0.410860;0.448945;16.634019
1;1;0.170175;0.537846;0.034241
1;2;0.420374;0.341038;0.036478
1;3;0.090596;0.596814;15.856637
1;1;0.368598;0.445846;0.034761
1;2;0.482829;0.195797;0.037079
1;3;0.238975;0.582704;16.613007
1;1;0.434807;0.429332;0.034229
1;2;0.428422;0.348007;0.036481
1;3;0.371555;0.399753;15.920642
1;1;0.374432;0.403310;0.034166
1;2;0.263736;0.464352;0.036446
1;3;0.353676;0.409599;15.975327
1;1;1.151496;0.240553;0.034212
1;2;0.736842;0.309768;0.036456
1;3;0.408240;0.488905;16.057142
1;1;0.461306;0.549821;0.034648
1;2;0.332762;0.366092;0.036888
1;3;0.390894;0.530290;16.019364
1;1;0.736375;0.346891;0.034131
1;2;0.508633;0.386545;0.036372
1;3;0.718966;0.454710;16.209335
1;1;0.489227;0.393330;0.034161
1;2;0.583751;0.290785;0.036408
1;3;0.802866;0.489717;16.176711
1;1;0.319419;0.406393;0.035279
1;2;0.776984;-0.388340;0.037619
1;3;0.282575;0.304317;15.795332
1;1;0.547883;0.231926;0.034137
1;2;0.398287;0.436550;0.036384
1;3;0.398826;0.338106;16.008286
1;1;0.170175;0.573464;0.034132
1;2;0.420374;0.349466;0.036366
1;3;0.290288;0.497970;16.203410
1;1;0.368598;0.479956;0.034278
1;2;0.482829;0.156550;0.036549
1;3;0.267369;0.580314;16.556431
1;1;0.434807;0.452034;0.035041
1;2;0.428422;0.312505;0.037364
1;3;0.341943;0.457564;16.600556
1;1;0.374432;0.432632;0.034268
1;2;0.263736;0.466119;0.036498
1;3;0.383299;0.413268;16.932415
1;1;1.151496;0.194283;0.034367
1;2;0.736842;0.303452;0.036650
1;3;0.278097;0.488882;16.173409
1;1;0.461306;0.587576;0.034138
1;2;0.332762;0.382139;0.036398
1;3;0.364888;0.586906;16.637820
1;1;0.736375;0.342349;0.034370
1;2;0.508633;0.397684;0.036702
1;3;0.393558;0.532045;16.029782
1;1;0.489227;0.347208;0.034426
1;2;0.583751;0.253569;0.036651
1;3;0.459517;0.380823;16.139966
1;1;0.319419;0.416748;0.034104
1;2;0.776984;-0.405326;0.036383
1;3;0.291657;0.296181;16.444553
1;1;0.547883;0.249018;0.035228
1;2;0.398287;0.414333;0.037524
1;3;0.357792;0.478699;15.870200
1;1;0.170175;0.574157;0.033985
1;2;0.420374;0.368148;0.036223
1;3;0.110596;0.670026;15.566002
1;1;0.368598;0.497700;0.034120
1;2;0.482829;0.213214;0.036383
1;3;0.257535;0.529518;15.987057
1;1;0.434807;0.433310;0.034231
1;2;0.428422;0.350017;0.036489
1;3;0.463248;0.383566;16.385770
1;1;0.374432;0.406163;0.034918
1;2;0.263736;0.479980;0.037226
1;3;0.316997;0.087478;16.354359
1;1;1.151496;0.227088;0.034415
1;2;0.736842;0.267373;0.036676
1;3;0.608239;0.488962;16.801473
1;1;0.461306;0.590434;0.034248
1;2;0.332762;0.366662;0.036483
1;3;0.256975;0.618264;16.305854
1;1;0.736375;0.353719;0.034357
1;2;0.508633;0.452318;0.036598
1;3;0.434261;0.511004;16.795813
1;1;0.489227;0.404384;0.035512
1;2;0.583751;0.322843;0.037851
1;3;0.680923;0.469697;16.059583
1;1;0.319419;0.434415;0.034253
1;2;0.776984;-0.419466;0.036496
1;3;0.526246;-0.064162;16.062206
1;1;0.547883;0.249860;0.034180
1;2;0.398287;0.414434;0.036459
1;3;0.425585;0.461201;16.377660
1;1;0.170175;0.585528;0.042537
1;2;0.420374;0.345952;0.045393
1;3;0.114741;0.704462;16.080583
1;1;0.368598;0.477539;0.034354
1;2;0.482829;0.158931;0.036651
1;3;0.313674;0.562951;16.200742
1;1;0.434807;0.427511;0.034167
1;2;0.428422;0.349116;0.036418
1;3;0.404437;0.462861;16.840796
1;1;0.374432;0.404063;0.034358
1;2;0.263736;0.452604;0.036627
1;3;0.280677;0.454164;16.560845
